variable,p_value,method,p_adj
Q13_5,0.22398999956226714,Wilcoxon rank-sum,0.5889380135042467
Q13_8,0.16559493373700684,Wilcoxon rank-sum,0.5889380135042467
Q13_11,0.3326053050718773,Fisher exact,0.5889380135042467
Q13_23,0.3102097419695373,Wilcoxon rank-sum,0.5889380135042467
Q14_2,0.6208361606729482,Wilcoxon rank-sum,0.7191819298470891
Q14_3,0.0324817829202347,Wilcoxon rank-sum,0.48722674380352055
Q14_4,0.43028276514987984,Wilcoxon rank-sum,0.5889380135042467
Q14_5,0.4290380799371209,Wilcoxon rank-sum,0.5889380135042467
Q16_1,0.6232910058674772,Wilcoxon rank-sum,0.7191819298470891
Q16_2,0.35128518275501147,Wilcoxon rank-sum,0.5889380135042467
Q16_3,0.2708330265181881,Wilcoxon rank-sum,0.5889380135042467
Q16_4,0.4133715962804524,Wilcoxon rank-sum,0.5889380135042467
Q16_5,0.4318878765697809,Wilcoxon rank-sum,0.5889380135042467
Q16_6,0.8662634751001443,Wilcoxon rank-sum,0.8662634751001443
Q16_7,0.7402335248560368,Wilcoxon rank-sum,0.7931073480600394
